symbol,symbol_name,symbol_type,symbol_name_full,unit,website
^DJI,Dow Jones,Market Index,Dow Jones (^DJI),index,
^IXIC,Nasdaq,Market Index,Nasdaq (^IXIC),index,
^GSPC,S&P500,Market Index,S&P500 (^GSPC),USD,
SPY,S&P500,ETF - not used,SPDR S&P 500 ETF Trust,USD,
SXR8.DE,S&P500,ETF,iShares Core S&P 500 UCITS ETF USD (Acc),EUR,
^NYA,NYSE Composite,Market Index,NYSE Composite (^NYA),index,
^RUT,Russell 2000,Market Index,Russell 2000 (^RUT),index,
^VIX,CBOE Volitility,Market Index,CBOE Volitility (^VIX),index %,
^GDAXI,DAX Index,Market Index,DAX Index (^GDAXI),index,
^FTSE,FTSE 100,Market Index,FTSE 100 (^FTSE),GBP,https://www.londonstockexchange.com/indices/ftse-all-share
^FTMC,FTSE 250,Market Index,FTSE 250 (^FTSE),GBP,https://www.londonstockexchange.com/indices/ftse-250
^FTAS,FTSE all-share,Market Index,FTSE all share (^FTAS),GBP,https://www.londonstockexchange.com/indices/ftse-all-share
FTAL.L,FTSE all-share,ETF,SPDR FTSE UK All Share UCITS ETF Acc,GBP,
^N225,Nikkei 225,Market Index,Nikkei (^N225),JPY,https://www.jpx.co.jp/english/
EWJ,Nikkei 225,ETF - not used,iShares MSCI Japan Index Fund,USD,
CNKY.L,Nikkei 225,ETF,iShares VII PLC - iShares Nikkei 225 ETF JPY Acc,GBP,
^HSI,Hang Seng Index,Market Index,Hong Kong Index (^HSI),HKD,
S600.L,Stoxx 600,ETF,Invesco ETF (S600.L),GBP,https://stoxx.com/index/sxxp/
BTC-USD,Bitcoin,,,USD,
CC=F,Cocoa,Commodity: AGRICULTURE,Cocoa (CC=F),GBP per Ton,
KC=F,Coffee,Commodity: AGRICULTURE,Coffee (KC=F),USc per lb.,
ZC=F,Corn,Commodity: AGRICULTURE,Corn (ZC=F),USc per Bushel,
CT=F,Cotton,Commodity: AGRICULTURE,Cotton (CT=F),USc per lb.,
LE=F,Live Cattle,Commodity: AGRICULTURE,Live Cattle (LE=F),USD per lb.,
OJ=F,Orange Juice,Commodity: AGRICULTURE,Orange Juice (OJ=F),USc per lb.,
ZS=F,Soybeans,Commodity: AGRICULTURE,Soybeans (ZS=F),USc per Bushel,
SB=F,Sugar,Commodity: AGRICULTURE,Sugar (SB=F),USc per lb.,
ZW=F,Wheat,Commodity: AGRICULTURE,Wheat (ZW=F),USc per Ton,
EH=F,Ethanol,Commodity: ENERGY,Ethanol (EH=F),per Gallon,
HO=F,Heating Oil,Commodity: ENERGY,Heating Oil (HO=F),USD per 100 Liter,
NG=F,Natural Gas,Commodity: ENERGY,Natural Gas (NG=F),USD per MMBtu,
BZ=F,Crude Oil-Brent,Commodity: ENERGY,Crude Oil-Brent (BZ=F),USD per Barrel,
CL=F,Crude Oil-WTI,Commodity: ENERGY,Crude Oil-WTI (CL=F),USD per Barrel,
HG=F,Copper,Commodity: INDUSTRIAL METALS,Copper (HG=F),USD per Ton,
GC=F,Gold,Commodity: PRECIOUS METALS,Gold (GC=F),USD per Troy Ounce,
PA=F,Palladium,Commodity: PRECIOUS METALS,Palladium (PA=F),USD per Troy Ounce,
PL=F,Platinum,Commodity: PRECIOUS METALS,Platinum (PL=F),USD per Troy Ounce,
SI=F,Silver,Commodity: PRECIOUS METALS,Silver (SI=F),USD per Troy Ounce,
^FVX,Treasury Yield 5 Years,U.S. Treasury Bond yield,Treasury Yield 5 Years (^FVX),USD,
^IRX,Treasury Bill 13 Week,U.S. Treasury Bond yield,Treasury Bill 13 Week (^IRX),USD,
^TNX,Treasury Yield 10 Years,U.S. Treasury Bond yield,Treasury Yield 10 Years (^TNX),USD,
^TYX,Treasury Yield 30 Years,U.S. Treasury Bond yield,Treasury Yield 30 Years (^TYX),USD,
BG0D.L,UK 10 year gilt,Index,FTSE UK GILT OVER10,GBP,
BG05.L,UK all gilts,Index,'UK GILT ALL',GBP,
